标题,作者,图书简介,链接 
米菲绘本系列: 米菲住院,（荷） 布鲁纳 著；童趣出版有限公司 译,"《米菲住院》是由荷兰插画大师迪克·布鲁纳花费数十年心血、精心创作的图画书历史上的经典之作。小兔子米菲迄今已有五十多岁，她和她的亲人、朋友们的故事被翻译成四十多种语言，风靡全世界，陪伴了一代又一代孩子的婴儿期，给他们带去了阅读启蒙。因此，米菲绘本被日本绘本之父松居直先生誉为“孩子的第一本图画书”。
米菲绘本系列讲述了小兔米菲的日常生活故事——去海边、去动物园、去做客、过生日、生病了等等。故事很简单，很温馨，有欢乐，有伤心，有困难，有胜利……作者以简洁但韵味十足的文字，简单、平静但传神的图画塑造出了一个快乐生活着的幼儿形象。它能教会0-3岁小朋友很多必不可少的生活知识与生活态度。
米菲绘本系列的特色在于：40开的小开本，适合宝宝拿在自己手中阅读、把玩；简单的线条、较大的色块、符号化的形象，让图画内容简洁、易辨，适合低龄宝宝阅读；六种纯色浓烈鲜亮，容易抓住宝宝的注意力；二四押韵的文字读起来琅琅上口。
这一次中文简体字版再版，不仅在译文上做了很大修正，还原了原文押韵的风格，还每辑附上一本导读，引导父母从绘本角度认识米菲，并且学会怎么使用这一套“孩子人生中的第一本图画书”。",https://www.xiaohuasheng.cn/book/50a89b5e762de87c
The Harper Collins Classic Library,Harper Collins,无简介,https://www.xiaohuasheng.cn/book/36538933cedfee17
铃木绘本蒲公英系列: 我也呜嗷呜嗷地哭了,"（日） 三枝三七子 著；彭懿,周龙梅 译",《铃木绘本》（郁金香系列）上市后，凭借其趣味盎然的故事，细腻温馨的画面，以及图书品质，获得了家长和孩子们的好评，也有很好的市场反响。《铃木绘本·蒲公英系列》是铃木绘本中的低年龄段绘本，针对2~4岁儿童，挑选了日本绘本作家的代表作品，由彭懿、周龙梅翻译，译文优美、生动有趣，故事充满智慧，包含亲情、友情、成长、勇气与分享等主题。画风亲切，色彩鲜明，整体作品具有亲和力，是亲子共读之作。,https://www.xiaohuasheng.cn/book/14b8c4eb342f9241
"小手手, 出来了",（日） 林明子 著,"重点发展肢体运动智能和内省智能
在本书中，作者选取小宝宝日常生活中的熟悉场景，描写了小宝宝在洗完澡后自己穿衣服的过程。阅读本书，小宝宝能够了解自己的身体并获得更好的自我意识的发展。",https://www.xiaohuasheng.cn/book/ca993b879973fa2
我是小兔子,汉娜劳拉.狄尔克斯，陈俊（译）,无简介,https://www.xiaohuasheng.cn/book/ccc48808c863b1af
手指电车,（日） 冬野一子 绘；晓晗 译," 
  《手指电车》是 “”12620156 一辆手指电车，在家里开始了“”  ",https://www.xiaohuasheng.cn/book/be31dc9e362057c8
噼里啪啦立体玩具书,童公佳 绘；崔维燕 译,这是一套精彩的立体书，尤其是大的布景，大人都觉得惊艳。里面机关很多（包含翻翻页，3D立体也，还有手动拉扯页）。每本都很小巧，小朋友自己拿着也方便。内容有创意，既锻炼了宝宝的对手能力，也给予了宝宝新鲜感。,https://www.xiaohuasheng.cn/book/282cbd549f921873
三顶帽子几个人,（日） 五味太郎 著；陈珊珊 译,“三只圆滚滚的小猪，两头肥嘟嘟的牛，一匹瘦巴巴的马，再来是一头胖大婶，哦，不对！是一位……” 三只猪不能说成三条猪，两头牛不能说成两匹牛，一匹马不能说成一头马，一位胖大婶不能说成一头胖大婶……哇，量词那么多，要了解清楚真是不容易！ 五味太郎认为数字非常有魅力，因此画了许多充满“数字”要素的景物，要让孩子在玩数一数的同时，也发现语言的奥妙！ 他融合一贯幽默、活泼、天真的创作风格，让孩子在数着一个火车头、五间房子、四棵树的时候，领略到数字的变化，还发现量词的种类繁多。 除了教育功能外，五味太郎还希望他的书必须是让孩子感兴趣的故事。于是故事从小男孩的房间开始，到玩耍的空地、空地旁边的二手车店、想买卡车的大叔和他的农舍、农舍旁的果园、水果店老板和来买水果的妈妈，最后又回到小男孩身上，环环相扣的情境，让人物之间形成流畅又有趣的互动。五味太郎还是位体贴的作者，他怕农舍里的动物太多数不完，于是说“麻雀不是大叔家养的，我们就不数了。”…… 这本图画书丰富的生活场景和逗趣的语言，让孩子不知不觉沉浸其中，在游戏中吸收了数与量的相关知识。日本图画书创意大师真是不简单，连数数的书都让人看了不由得惊呼“这也太有趣了吧！”,https://www.xiaohuasheng.cn/book/99f2ae25c3297924
铃木绘本蒲公英系列: 绵羊面包,（日） 秋山匡 著，彭懿，周龙梅（译）,《铃木绘本》（郁金香系列）上市后，凭借其趣味盎然的故事，细腻温馨的画面，以及优质的图书品质，获得了家长和孩子们的一致好评，也有很好的市场反响。《铃木绘本?蒲公英系列》是铃木绘本中的低年龄段绘本，针对2~4岁儿童，精选了日本绘本大家的代表作品，由彭懿、周龙梅翻译，译文优美、生动有趣，故事充满智慧，包含亲情、友情、成长、勇气与分享等主题。画风亲切，色彩鲜明，整体作品具有亲和力，是亲子共读的精品之作。,https://www.xiaohuasheng.cn/book/dc7893271567b438
我有友情要出租,方素珍 著；郝洛玟 绘,《我有友情要出租》讲述了孤单寂寞的大猩猩不知道该怎样交朋友，于是想到了“出租友情”的点子，这样一来，不仅有朋友陪自己一起玩耍，而且还有钱赚，一举两得。刚巧，咪咪出现了，她正好没有玩伴，马上租下大猩猩陪自己玩，他们玩得很痛快。接下来，咪咪每天都来租友情，他们越玩越开心。这一天，大猩猩特地没带装钱的小背包和计时用的沙漏，反而准备了好吃的饼干要和咪咪分享，谁知咪咪却搬走了，留给大猩猩难忘的想念。后来，大猩猩又开始出租友情了，不过，这一次他特意强调了是“免费”出租，因为他已经领悟了友情的真谛，明白了友情是不能用金钱买卖的。,https://www.xiaohuasheng.cn/book/4e916b09c48f00f6
铃木绘本郁金香系列: 胡子 胡子,（日） 内田麟太郎 著；（日） 西村敏雄 绘；彭懿，周龙梅 译,《铃木绘本·郁金香系列:胡子 胡子》讲述了昨天晚上，我读了一本名叫《吾辈是胡子》的小说。作家是那位文豪，面粉？揉太郎。故事的主人公是一撮稀稀拉拉的胡子，它从不自卑，最后帮助自己懦弱的主人当上了总理。是一部喜剧。哎呀，哈呀，这稀稀拉拉的胡子的台词，实在是太妙了。“没有胡子的龙，不过是条大四脚蛇而已。”“有胡子的男人，即使秃顶也气派！”“没有胡子的林肯，就不肯选他。”“没有胡子的圣德太子，肯定是假钞。”每当这种时候，懦弱的大叔就会捋起稀稀拉拉的胡子叫喊：“我不要稀稀拉拉的胡子，我要大胡子！”当上了总理的大叔嘟囔着：“不知大画家西村有没有胡子？”大画家西村听到这些话了吧？说不定大画家西村已经留了一大撮胡子了。,https://www.xiaohuasheng.cn/book/8af9fbf500117177
一只猫,（加拿大） 罗杰·巴克（Roger Paré） 著；宋欣 译,一本好玩有趣的认知纸板书，从一只猫开始，罗杰·巴克用他魔法棒一样的画笔逐渐打开孩子的视野，从第一页到第十页，越来越丰富的画面蕴含着无限的想象力和创造精神。还可以从第十页往前，试着回忆一下少了些什么，也是很有挑战力的游戏内容。,https://www.xiaohuasheng.cn/book/2171231e043d5710
7只老鼠在海边,（日） 山下明生 著；（日） 岩村和朗 绘；彭懿 译,《7只老鼠在海边》，该书除延续了岩村和朗一贯的画风外，仍然以老鼠为主角，以丰富美妙的自然为背景，但是文字部分则由日本著名儿童文学作家山下明生叙述故事，增加了故事的趣味性和文与图之间的相辅相成。全书仍然是齐心合力、其乐融融的大家庭的生活形态，去挖红薯、去钓鱼、去上学、去海边，透过老鼠拟人化的视角，寓教于乐地表达了生活中的秩序、常识、生活中人际关系的常理以及变通地思考和解决问题的能力。同时，将亲情之爱、自然的规律、团队合作、分工等都融合在温馨有趣的故事里。读者可以从图画书中，感受自然力量的伟大和神奇，教导孩子乐观积极、热爱家庭，变通思考、灵活解决问题，对于现代远离自然和大家族亲情的读者，更显的难能可贵，是现代都市儿童人格启蒙的一套优质成长图画书。,https://www.xiaohuasheng.cn/book/12964d6451e9db5b
米菲绘本系列: 米菲在动物园,（荷） 布鲁纳 著；童趣出版有限公司 译,"《米菲在动物园》是荷兰插画大师迪克·布鲁纳的经典之作,被译成四十多种语言，风靡全世界，备受日本绘本之父松居直推崇的“孩子的第一本图画书”，目前市场上屈指可数的专为0-4岁婴幼儿创作的绘本，著名儿童阅读推广人阿甲审译译文，红泥巴读书俱乐部竭力推荐。",https://www.xiaohuasheng.cn/book/50e26f6c420be342
汽车嘟嘟嘟系列: 咔嚓! 挖掘机,（日） 竹下文子 著；（日） 铃木守 绘；彭懿 译,"《咔嚓！挖掘机》
 工人叔叔开着挖掘机外出去工作。
 开最小的1号挖掘机去公园种树，
 开稍大一点的2号挖掘机去山上修马路。
 挖掘机能帮助大家清河道、盖房子、清垃圾……
 挖掘机真是工人叔叔的好帮手！
 本书在阅读游戏中，让孩子了解不同种类挖掘机的功能和作用。语言亲切，画面生动，故事好玩！",https://www.xiaohuasheng.cn/book/e28d72f4e55c8625
乘着飞机去旅行,（英） 萨莉·霍普古德 著；（克罗地亚） 安德里亚·帕特丽珂 绘；林昕 译,这儿有一大群动物们准备登机去旅行咯！宝宝在一次次不可思议的快乐之旅中，学会识数、认知小动物、欣赏异域风情，在玩乐中不知不觉学习知识！颇具节奏感的语言、缤纷绚烂的油画色彩、奇妙欢乐的情节、稚拙童趣的对话让严谨的知识教育变得简单生动，和宝宝一起加入这奇妙的旅程吧！,https://www.xiaohuasheng.cn/book/6b8697edf1eeddc8
就是找不到1 七彩生活,（德） 卡特娅·舒勒 著；（德） 斯蒂芬妮·沙恩贝格 绘；罗璇 译,这是一本设计独特的寻找游戏书，是孩子的快乐生活的认知书，是帮孩子顺利表达的宝宝生活大词典。场景图的图画生动活泼，内容丰富，布局巧妙，充满了匠心独运的幽默细节，贯穿了有趣的故事，让孩子尽情发现。洞洞元素的加入，吸引孩子快乐探索。 认知图形式突出：右侧是一列可供孩子在情景图中对应寻找的物品，在快乐游戏的过程中，轻松记住那些在七彩生活中出现的物品名字，比如牙膏、冰激凌、路灯、消防车。左侧“认认看”部分出现的物品和词语，跟孩子的生活密切相关，让孩子认得蜡笔和剪刀，学会辨别干净和脏，学会表达付钱和洗澡。中间穿插的小问题，让孩子练习观察细节和整体，练习联想和想象，练习语言表达能力。 细心的小朋友和家长，留心贯穿整本书的人物和家庭，能够发现一个个不断发展变化的美好生活故事。快跟着豆豆和丁丁两家人，一起体验七彩生活吧！,https://www.xiaohuasheng.cn/book/3bac0682f7356f8e
小蛇散步,（日） 伊东宽 著；田霞 译,《爱心树绘本馆:小蛇散步(新版)》内容简介：小蛇在散步时遇到一个大水坑，它用自己的身体搭成一座桥，帮助蚂蚁、蜗牛等小动物走到了对岸。没想到狗、狮子和大象也来了，竟然都想从小蛇的背上走过去，小蛇会怎么做呢？,https://www.xiaohuasheng.cn/book/75edcb1638ef2e46
开车出发系列一: 坐电车出发,"（日）间濑直方/文·图；彭懿,周龙梅（译）","坐上车，然后大喊一声：“出发喽!”这是一个小朋友永远不会厌倦的时刻!
     因为出发之后，就可以安心地坐在车里，和家人一起在移动的状态中享受车内和车外的风景。这套书就这样带着一车车的人，到了山问、原野、花田，过铁桥、看大海。
     书里的插图细腻精美，细致到我们可以一一述说人们都在做什么。文字简单而富有旋律。极简短的文字只为引导读者自行分辨书中角色和情境。
坐车旅行是一种风景和记忆，亲子阅读也是一种旅行和风景，只要和家人在一起，就会感觉幸福无比。这样的记忆、想念与期待，才是永远有魅力的旅行。
     这是一套交通工具大集合的书。天上飞的飞机、飞艇，地上走的火车、公共汽车、消防车、摩托车，水里游的大轮船、小橡皮艇，大大小小的交通工具都有出现，男孩子一定会喜欢!
     这是一套美丽的自然风景书。超级清新的画风，色彩柔和而绚丽，带给我们扑面而来的清新。动物形象也圆乎乎的，特别可爱，女孩子也一定会喜欢!
     这还是一套有趣的亲子共读书。细致的图画，有好多的小细节可以让孩子仔细看，让爸妈慢慢讲。
     这是一套别出心裁的游戏书。每本书都有不同的工艺设计，让小朋友们惊喜不已。而且在每本书里都可以找到别的故事里出现过的交通工具!喜欢找一找的小朋友，别忘了睁大眼睛瞧一瞧喔!",https://www.xiaohuasheng.cn/book/a935f3e7535270bc
I Can Read Biscuit : Bathtime for Biscuit,"Alyssa Satin Capucilli , Pat Schories  (Illustrations)","Everything is ready for Biscuit to take a bath'everything except Biscuit! After rolling in the mud and playing in the garden with his friend Puddles, will Biscuit ever get clean? Whether or not they share Biscuit's reluctance to take a bath, beginning readers will adore reading about his appealing antics in this My First I Can Read Book, the third in the best-selling series about the popular puppy.  Another successful easy reader from the creators of Biscuit and  Biscuit Finds a Friend . . . . A good choice for the youngest readers and listeners alike.--  School Library Journal   2001 Garden State Children's Book Award (Easy Rdr Cat.)",https://www.xiaohuasheng.cn/book/3fbe3be9fdb0f5bd
形状游戏一起玩——圆滚滚,新井洋行 编；新井洋行 绘；徐超 译,这是一套面对0-2岁幼儿的以形状认知为中心内容的趣味游戏认知书，图书旨在用拟人的方式让圆形、方形和动物朋友们一起玩游戏，向幼儿介绍圆形和方形的各种特征。这套图书最大的特点，是将形状的特点用和朋友们一起玩的游戏故事形式表达出来，有趣且不刻意。让孩子不用反复识记，就能轻松弄清形状的概念，而且能让孩子们在阅读的快乐中再也忘不了。 《圆滚滚》讲的是一个名叫圆滚滚是小圆形，他有这能让事物都变成圆形的魔法。有一天，他让小猪、小狮子、长颈鹿等动物们都变成了圆形，他们一起滚啊滚，最后滚成了一个大圆形的可爱故事。 《方块块》讲的是一个名叫方块块是小方形，他有这能让事物都变成方形的魔法。方块块用它的魔法让小猪、小狮子、长颈鹿等动物们都变成了有棱有角的方形，他们一起拼积木，最后拼成了一个大方形的可爱故事。,https://www.xiaohuasheng.cn/book/a952162b280baac3
"A Big Guy Took My Ball! (Elephant & Piggy, #19)",Mo Willems,"Gerald is careful. Piggie is not.
Piggie cannot help smiling. Gerald can.
Gerald worries so that Piggie does not have to.

Gerald and Piggie are best friends.

In  A Big Guy Took My Ball!  Piggie is devastated when a big guy takes her ball! Gerald is big, too...but is he big enough to help his best friend?",https://www.xiaohuasheng.cn/book/c53ecb945b7cfc6b
艺术大书,埃尔维·杜莱，文不丁（译）,无简介,https://www.xiaohuasheng.cn/book/455fdfec50cbb59c
颜色,（瑞士） 莫妮克·弗利克斯 绘,"这是一套名副其实的无字书：用图画讲故事，连一个字的描述都没有。除了画面在叙事上的杰出表现力外，画面的主角小老鼠十分生动传神。不仅鼠毛清晰可见，尾巴、耳朵、手脚的皮肤很有质感，而且表情生动、动作传神。

儿童文学教授梅子涵说《颜色》 

不甘寂寞的小老鼠又想找到什么? 
雪白的纸头后面竟然有艳丽的颜色。 
黄的、红的、蓝的、绿的…… 
谁说小老鼠画的不是最美的图画? 
哎哟喂， 
小老鼠的尾巴也五彩缤纷了。 

有一个哲学， 
陪伴孩子阅读的大人该知道： 
一个人真不该平平淡淡，没有“颜色”的日子好单调哦。 
鼓励孩子大胆地“画画”， 
就会成功， 
就有喜悦了！",https://www.xiaohuasheng.cn/book/a5cc71b0f1f0f12c
小耳朵凯文,丽斯贝特.史蕾洁斯,无简介,https://www.xiaohuasheng.cn/book/146efbcebb17874e
乐悠悠图画书,高洪波 等著，安宏 等绘,"《乐悠悠图画书》是适合0-3岁婴幼儿阅读的小绘本，从品牌期刊《婴儿画报》中精选，共22册，
分别是：《 过节》
《甜甜的太阳》
《爸爸妈妈下班啦》
《大象杂技团》
《小白鼠去旅行》
《兔子楼》
《小鸟学飞》
《一把小绿伞》
《不当馋嘴猫》
《问好》
《玩具回家》
《小猪吃米饭》
《学走路》
《“哒哒哒”，跑得快》
《小鸟不再叫》
《三把小伞》
《小雨人》
《袋鼠车》
《长颈鹿》",https://www.xiaohuasheng.cn/book/e683407cdd273b1d
刺小猬的蛋,（日） 高桥希 著；青豆童书馆，赵佼佼 译,"看刺小猬孵蛋，分享童心的善良与任性
     刺小猬看见鸭妈妈在孵蛋，他也想学鸭妈妈，于是他要找刺猬蛋。他发现了一个松果，松果表面的刺和他太像了，刺小猬认定这就是他的蛋了。他学着鸭妈妈，趴在“蛋”上面，仔细照料，细心呵护。经历了日晒雨淋，狂风大作，最后，他真的孵出了“小刺猬”——一条毛毛虫。
     全书画面非常美丽，故事童趣十足，表达细腻温情，比如，面对伙伴们的怀疑，刺小猬毫不动摇；又比如：刺小猬精心照顾他的“蛋”，还搞起了胎教，甚至还能看见松果的中间隐隐出现了小宝宝的影子，这应该是小刺猬的幻觉。

   总之，这是一本让孩子爱不释手的绘本，孩子一定会喜欢这个故事，因为它如此贴近孩子的心理和想象，且画面既鲜明漂亮，又不失生动细腻。
",https://www.xiaohuasheng.cn/book/17616c71bf56b0e8
儿童情绪管理图画书1,（新西兰） 特蕾西·莫洛尼 著；海豚传媒 编,"《中国第一套儿童情绪管理图画书1（全4册）》是一套非常特别的、值得珍藏的书，艺术的轻灵感性与心理的抚慰理性结合得相当完美。这套书适合家长和自己的孩子一起阅读，在阅读的过程中，家长能从孩子的角度帮助他们充分认识、体验、接纳和管理自己的情绪。
每个孩子总是在不断探索中发现周围的世界，发现自我并逐渐长大成熟。在今天这个充满竞争意识的时代，我们的孩子常常很小就被要求去学习各种知识与技能，家长们都望子成龙，希望自己的孩子能赢在起跑线上。不过，我们在对孩子进行智力开发的时候，是否意识到关注孩子心灵的重要性呢？是否意识到一个孩子的情绪认知能力在他成功的道路上所起的作用呢？在心理学上，这种对情绪的认识、评价和协调管理能力被称为“情商”（EQ）。美国心理学博士丹尼尔?戈尔曼曾认为，人们首先要认识EQ的重要性，“EQ是人类最重要的生存能力”。事实证明，情商高的孩子更容易获得快乐，他们在挫折面前能更快地调整和驾驭自己的心态与情绪，一种健全的人格和自尊也会让他们更快走向成功，并领悟和享受到生活本身的乐趣。
从这个角度说，这套书其亲子共读的意义就更为显著和突出——当我打开这些美丽的绘本书，和儿子一起去认识名叫孤独的小雨滴，认识那个名叫妒忌的绿色怪物的时候，我觉得我的内心也得到了安抚和引领。接纳自己的情绪，让自己学会在孤独中得到乐趣，分享你的爱心和快乐，这一切都会使得你和周围的世界的关系变得通透与明亮。拥有健康与阳光和人格，有着和谐与包容的内心，也正是这套书给我自身的生活启发——因此，作为一个五岁孩子的母亲，作为一个儿童文学和儿童心理的研究者，我不能不说，对于这样的书籍我已经期待得太久太久。",https://www.xiaohuasheng.cn/book/64c3314ae288ad1a
皮肤国的大麻烦,（德） 安娜·鲁斯曼 著；郭嘉惠 译,米基在海边玩了一整天，可到了晚上，他的皮肤火辣辣地疼！ 原来是米基被晒伤了，他皮肤上的各个国家损失惨重！为了对付炎热和晒伤，各国特使聚在一起，召开了一次紧急会议。膝盖国处理擦伤不在话下，肚子国善于应对蚊虫叮咬……可是现在，大家却一点儿办法也没有。 就在大家一筹莫展的时候，屁股国特使胖胖屁姗姗来迟，他会带给大家什么启示呢？他们*终找到对付炎热和晒伤的方法了吗？ 这个充满想象的故事可以让孩子了解我们的身体，知道怎样做才能保护皮肤不受强烈阳光的伤害。,https://www.xiaohuasheng.cn/book/9423842250d6c970
偷偷看里面: 夜晚,（英） 安娜·米尔波恩 著；（英） 西蒙娜·迪米特里 绘；惠旋 译,该系列引进自英国usborne出版社，是看里面系列的新产品。洞洞+翻翻书的形式趣味十足，动物、自然的主题十分贴近生活，色彩鲜艳、充满美感，语言朗朗上口。书中巧妙地设计了许多问题，激发孩子的阅读兴趣，同时兼具启蒙认知功能。,https://www.xiaohuasheng.cn/book/3567678c1e51c448
我的幼幼双语早教学习机2,趣威,无简介,https://www.xiaohuasheng.cn/book/82c7cc24d6e2c988
可爱的鼠小弟13-22,"〔日〕中江嘉男 文 ,〔日〕上野纪子 绘, 〔日〕猿渡静子 译","在日本，“可爱的鼠小弟”系列自1974年问世以来就深受孩子们的喜爱，囊括日本各大童书奖项，累积重印1200次，被誉为“日本绘本史上不可逾越的巅峰”，也是世界绘本经典中的经典。该系列的前12册自2005年在国内出版以来，长期占据儿童畅销书排行榜首位，销量累计超过100万册，成为了最具口碑、最受欢迎的儿童早期阅读启蒙读物。
以极少的元素创造极为单纯、却又回味无穷的快乐，是“可爱的鼠小弟”系列的独特魅力。继前12册之后，鼠小弟又带来了更新鲜、更有趣的故事！做松饼，堆雪人，过圣诞节，玩捉迷藏，玩跷跷板，去海边，鼠小弟甚至还换上了灰色的小背心。鼠小弟的朋友越来越多，他们的活动也更加丰富多彩，不过，出人意料的结局还是在每个故事的结尾等着我们……
清爽明快的色彩，充满质感的铅笔线条，舞台似的独特构图，“可爱的鼠小弟”用一个又一个幽默、温馨，出人意料的故事带给了孩子们无尽的阅读乐趣，而活泼俏皮、真诚善良的鼠小弟更是走入了千万孩子的心中，成为了名副其实的绘本偶像人物。
13 《鼠小妹的松饼》
鼠小妹打算做松饼，于是让鼠小弟邀请朋友们一起来吃。可大家却以为鼠小妹很会做饭，说出了各种各样想吃的东西。这下，鼠小妹可为难了，到底该做些什么呢？
14 《鼠小弟堆雪人》
下雪了，鼠小弟开心极了，他和朋友们打雪球、堆雪人。可是，他的雪球、雪人总是没别人的大。滑雪的时候，从来没滑过雪的他还骨碌骨碌地滚了下去，最后，会发生什么呢？
15 《又来了！鼠小妹的松饼》
鼠小妹的松饼点心3点钟做好。为了早点儿吃到点心，伙伴们竟然把钟拨快了。时间过得这么快，鼠小妹能不能把点心做好呢？
16 《鼠小妹的圣诞树》
圣诞节要到了，大家都在装饰自己的圣诞树，可是鼠小妹为大家准备了一件很不一样的大礼物。为了感谢鼠小妹，大家一起装饰了一棵更大的圣诞树……
17 《鼠小弟的礼物》
鼠小妹的生日到了，朋友们送了她各种各样的好吃的，鼠小弟却送她一个大大的气球。大大的气球越来越小，最后还长出了小尖角。原来，气球里才是真正的礼物……
18 《鼠小弟捉迷藏》
鼠小弟和朋友们一起来玩捉迷藏，大伙儿躲在大象哥哥的身后，鼠小弟总是找不到。后来，太阳公公露出了脸，这下可帮了鼠小弟的忙……
19 《鼠小弟玩跷跷板》
鼠小弟这么轻，竟然可以和大象哥哥一起玩跷跷板？不用怕，朋友们一起来帮忙。可是，连最重的小熊都上来了，跷跷板还是一动也不动。还有谁可以帮忙呢？
20 《鼠小弟，长大以后做什么？》
小鸭子长大以后想做飞行员，小狮子长大以后想做理发师……大家都有自己的理想，可鼠小弟，你长大以后要做什么呢？
21 《只能是红的！鼠小弟的小背心》
鼠小妹给鼠小弟织了一件新的小背心，是灰色的。别的小伙伴也都穿上了妈妈织的小背心。玩的时候不小心弄脏了小背心，小浣熊来帮大家洗干净，可是，鼠小弟去拿的时候，发现自己的背心又变大了……
22 《鼠小弟去海边》
鼠小弟和鼠小妹准备去海边玩，叫来了小兔子、小猪、大象、小乌龟等很多好伙伴，可是小乌龟的朋友却来不了。到了海边以后，小乌龟的朋友终于出现了，让大家兴奋不已，开心极了。这位朋友到底是谁呢？",https://www.xiaohuasheng.cn/book/458768709ad036f6
肚子里的小人,（日） 吉村亚希子 著；肖珊 译,《肚子里的小人》讲述了在你的肚子里，住着一个与你吃一样的东西的小人。如果你吃得太饱，小人会在肚子里挤得很难受；如果你喝得太多，小人就要淹死在肚子里啦；如果你躺着吃饭，食物一股脑冲下来，小人会站不住；如果你的肚子着了凉，小人会在肚子里冻得哆哆嗦嗦。好好吃饭、养成好习惯，肚子里的小人才会跟你一样开心快乐！,https://www.xiaohuasheng.cn/book/f278d9eb6d2a3a0b
小猴子坦坦的大白熊,（日） 岩村和朗 著；彭懿 译,"系列简介：
 “小猴子坦坦”由著名作家岩村和朗创作，是一部妙趣横生的图画书。它由小猴子坦坦的一组组妙想故事组成，配以简洁画面，使得跳跃的联想既是故事，也是游戏，阅读时，小读者还可将自己的生活体经融入其中，创造出更为丰富的想象空间。
 “小猴子坦坦”融角色扮演、同伴游戏等于一体，在一个个童趣洋溢的小故事里，小读者可充分感知成长的乐趣，并在阅读中任思维跳跃发散。家庭生活里的一个小道具甚至也可以让孩子们展开幻想的翅膀，在快乐中逐步培养思维的独创性和灵活性，并从故事本身获取智慧、勇气和友谊。
 单本简介：
 《小猴子坦坦和大白熊》
 小猴子坦坦最喜欢的大白熊，总能轻轻飘上天。到了冬天，大白熊还能从天上飘下来。啪嗒，啪嗒，大白熊慢吞吞地背着坦坦走啊走啊，走在原野上……朝森林走去……哗啦啦，森林摇晃起来，大家都跑了起来，大白熊和坦坦该怎么办啊？",https://www.xiaohuasheng.cn/book/f676798af8cecf5d
From head to Toe,Eric Carle,"What does an elephant do? It stomps its foot. Can you? From the creator of such beloved classics as  The Grouchy Ladybug  and  The Mixed-Up Chameleon  comes this interactive story that invites kids to imitate animal movements. Watching giraffes bend their necks or monkeys wave their arms is fun, but nothing could be better than joining in. From their heads down to their toes, kids will be wriggling, jiggling, and giggling as they try to keep up with these animals!",https://www.xiaohuasheng.cn/book/2a7e56f195d9e1a6
团圆,余丽琼/文；朱成梁/图,这是一本是讲过年的绘本，获得了第一届丰子恺图画书奖首奖。第一页场景是江南水乡的村庄，画的场景很唯美。家庭的温馨及人生的分分合合，在这本书里体现的淋漓尽致，那股暖暖的感觉和一丝忧伤萦绕在心间。,https://www.xiaohuasheng.cn/book/58211b697840870e
From Head to Toe,Eric Carle,"What does an elephant do? It stomps its foot. Can you? From the creator of such beloved classics as  The Grouchy Ladybug  and  The Mixed-Up Chameleon  comes this interactive story that invites kids to imitate animal movements. Watching giraffes bend their necks or monkeys wave their arms is fun, but nothing could be better than joining in. From their heads down to their toes, kids will be wriggling, jiggling, and giggling as they try to keep up with these animals!Alligators wiggle, elephants stop, gorillas thump, and giraffes bend. Can you do it? ‘ I can do it!’ is the confidence-building message of this fun-filled interactive picture book. A variety of familiar animals invite young children to copy their antics, and as they play, they will learn such important skills as careful listening, focusing attention, and following instructions. Just as alphabet books introduce the very young child to letters and simple words, From Head to Toe introduces the basic body parts and simple body movements. And in the same way that children progress from understanding simple words to reading and writing sentences and stories, so they will progress from simple body movements to dancing, gymnastics, and other sports and activities, with confidence and pleasure. 

Eric Carle's colorful collages have delighted children for more than a generation. Each book provides hours of fun while encouraging them to stretch their imaginations. His matchless words and illustrations now send out a new challenge:
 Are you ready?
 Here we go!
 Move yourself
 From Head to Toe.    A Main Selection of the Children’s Book-of-the-Month Club",https://www.xiaohuasheng.cn/book/3ff5a44d358b74ab
可爱的鼠小弟22: 鼠小弟去海边,（日） 中江嘉男 著；（日） 上野纪子 绘；（日） 猿渡静子 译,《可爱的鼠小弟22:鼠小弟去海边》内容简介：鼠小弟和鼠小妹准备去海边玩，叫来了小兔子、小猪、大象、小乌龟等很多好伙伴，可是小乌龟的朋友却来不了。到了海边以后，小乌龟的朋友终于出现了，让大家兴奋不已，开心极了。这位朋友到底是谁呢？在日本，“可爱的鼠小弟”系列自1974年问世以来就深受孩子们的喜爱，囊括日本各大童书奖项，累积重印1200次，被誉为“日本绘本史上不可逾越的巅峰”，也是世界绘本经典中的经典。该系列的前12册自2005年在国内出版以来，长期占据儿童畅销书排行榜首位，销量累计超过100万册，成为了最具口碑、最受欢迎的儿童早期阅读启蒙读物。以极少的元素创造极为单纯、却又回味无穷的快乐，是“可爱的鼠小弟”系列的独特魅力。继前12册之后，鼠小弟又带来了更新鲜、更有趣的故事！做松饼，堆雪人，过圣诞节，玩捉迷藏，玩跷跷板，去海边，鼠小弟甚至还换上了灰色的小背心。鼠小弟的朋友越来越多，他们的活动也更加丰富多彩，不过，出人意料的结局还是在每个故事的结尾等着我们……清爽明快的色彩，充满质感的铅笔线条，舞台似的独特构图，“可爱的鼠小弟”用一个又一个幽默、温馨、出人意料的故事带给了孩子们无尽的阅读乐趣，而活泼俏皮、真诚善良的鼠小弟更是走入了千万孩子的心中，成为了名副其实的绘本偶像人物。,https://www.xiaohuasheng.cn/book/e413aee4ee6b1938
Oxford Reading Tree Level 1+: Book 5: Alternative Spellings,无作者,无简介,https://www.xiaohuasheng.cn/book/2a19a86b3f1841df
