标题,作者,图书简介,链接 
Leslie Patricelli Faster! Faster!,Leslie Patricelli,"Hang on tight for more comic joy in this companion to the  Boston Globe - Horn Book  Honor winner  Higher! Higher!  

A day at the park. A ride on Daddy's back. Run, Daddy! Faster! Faster! How fast can Daddy go? Faster than a dog? A horse? How about a cheetah? Must his feet even touch the ground? Leslie Patricelli reprises the duo from  Higher! Higher!  in another humorous riff on a favorite pastime — a laugh-out-loud-funny tale of few words about doting dads and high-energy kids whose imaginations know no bounds.",https://www.xiaohuasheng.cn/book/614d5fa645dffa26
创意大师洞洞翻翻启蒙纸板书: 圆,（日） 米津祐介 著；张瑜珈 译,[创意大师洞洞翻翻启蒙纸板书 圆 双语版],https://www.xiaohuasheng.cn/book/e1768747837b6e24
"1, 2, 3, 做运动! -宝宝游戏力培养翻翻书",（法） 阿兰·克洛宗/著 著；徐洁/译 译,这是一套专为低幼宝宝设计的翻翻游戏书，包括2册。书中每页都是简洁可爱的画面，根据认知内容精心设计各种翻页，活动翻页画面动起来，让宝宝快乐游戏，锻炼手部精细动作，提高观察力和想象力，轻松认知各种常见事物。语言可爱生动，易学好模仿，发展宝宝语言能力。《1，2，3，做运动！》1，2，3，动物们做运动啦！竖起来，折下去，兔子的耳朵真灵活；左一下，右一下，大象的鼻子甩一甩；睁开，闭上，猫头鹰的眼睛眨啊眨……跟着节奏，活动翻页，一起做运动吧！  ,https://www.xiaohuasheng.cn/book/6418d4016ca7b140
The Animal Boogie,"Debbie Harter, Fred Penner","This lively rhyme soon has young listeners frolicking around, with creatures in the Indian jungle. Children will be eager to join in and copy the animals' actions. The song has a quick pace and its catchiness allows little ones, to learn the words and get involved with the story, as they try to guess the animal that will appear on the next page. The book features children from many cultures and differently-abled children. The rhymes and music encourage children to experiment with movement. Everyone will want to get up and dance to this toe-tapping favourite!",https://www.xiaohuasheng.cn/book/f6dd42e863b6d02
Potato Pals F1: In the Evening,Patric Jackson . Rie Kimora,无简介,https://www.xiaohuasheng.cn/book/d4b4e30ec3785a8e
"Good Night, Gorilla",Peggy Rathmann,"""Good night, Gorilla"", says the zookeeper. But mischievous Gorilla isn't quite ready to go to sleep. He'd rather follow the zookeeper on his rounds and let all of the other animals out of their cages. Little night owls can sneak along with Gorilla and see who gets the last laugh in this riotous goodnight romp. Practically wordless yet full of expressive art and hilarious, adorable detail, this book is sure to become a beloved part of children's own bedtime rituals. 
一个关于一只不肯睡觉的小猩猩的故事，几乎没什么字，欢乐可爱，给小宝贝睡前读，最最好！",https://www.xiaohuasheng.cn/book/946e83f2da61d712
Whose Mouse are You?,"Robert Kraus, José Aruego (Illustrator)",A lonely little mouse has to be resourceful in order to bring his family back together.,https://www.xiaohuasheng.cn/book/a0508be702d2c764
The Very Hungry Caterpillar,Eric Carle,"As a tiny green caterpillar eats his way through the book, he is transformed into a beautiful butterfly, in a board book edition of the classic picture book.",https://www.xiaohuasheng.cn/book/b11f5c928c79d11b
躲猫猫游戏书: 猜猜动物园,[美] 妮娜·兰登 著；张芳 译,看线索……猜动物……咯咯笑不停……百玩不厌！漫长的等待之后，纸板书大师妮娜·兰登终于为她的经典之作《猜猜我是谁》创作了一个姊妹篇。 本书色彩丰富的图片、生动而富有节奏感的文字，帮助宝宝透过小窗，猜测下一页的动物。互动的乐趣，隐藏在下页之中的秘密，动人的画风，让宝宝欢笑着，一路学到最后令人意外的一页。,https://www.xiaohuasheng.cn/book/d23d5b659252ca5a
How to Bath Your Little Dinosaur,"Jane Clarke, Georgie Birkett (Illustrations)","Dirty little dinosaur doesn't want to wash . . .
Fill up the bath tub, splish, splash, SPLOSH!

A board book all about bath time!

Discover the big moments and daily routines of every toddler’s life with lovable animal characters and a playful, rhyming text. Each story features a child with their very own baby animal, brought to life by the creator of The Big Night-Night Book.",https://www.xiaohuasheng.cn/book/b062798e5e055c20
May I Please Have A Cookie?,Jennifer E. Morris ," Alfie loves his mommy's cookies, and he wants one more than anything! But grabbing for one, fishing for one, and dressing up as a cookie inspector don't seem to work. His mommy says there is a better way. What is it? Beginning readers will learn proper manners with Alfie as his mommy teaches him to say the magic words.",https://www.xiaohuasheng.cn/book/3f707cac3fa8af2f
飞机,（瑞士） 莫妮克·弗利克斯 绘,"
      ",https://www.xiaohuasheng.cn/book/89b256adbdbd739e
Spring is Here,Taro Gomi,"Using simple words and bright illustrations, author-illustrator Taro Gomi takes children on a playful tour of the four seasons.",https://www.xiaohuasheng.cn/book/f19cda8e837a0c51
Maisy Goes Shopping,Lucy Cousins,Maisy Goes Shopping,https://www.xiaohuasheng.cn/book/82d5200a194a96eb
Wheels on the Bus,"Raffi Cavoukian, Sylvie Wickstrom (Illustrations)","Singing and reading to your child are considered two of the most vital ways

parents can stimulate the development of a child's brain during the earlist

years. Raffi's Songs to Read unites the rhythm, rhyme, and repetition that

helps to lay the foundation for later speech, listening, and reading skills.

here with fresh new cover designs are some of Raffi's best-known songs. With

enchanting illustrations they create books that are natural bridges between

music and reading.",https://www.xiaohuasheng.cn/book/d3d4d1e10410d45
"Good Night, Gorilla",Peggy Rathmann,"A zookeeper finds his normal nighttime routine upset when a mischievous little gorilla steals his keys and lets all his animal charges out of their cages, in a board book edition of the popular picture book.",https://www.xiaohuasheng.cn/book/e635724e45890ede
Ketchup on Your Cornflakes?,Nick Sharratt,"This is a great reissuing of a perennially popular split-page book inviting children to howl with laughter at the fantastic and fantastical food concoctions they create. Do you like ketchup on your cornflakes? Tying in with Nick Sharratt's position as official illustrator for World Book Day 2006, this larger format edition, with its best cover yet, will ensure ""Ketchup's"" continuing longevity.",https://www.xiaohuasheng.cn/book/fc78cc95654faac8
Spot and His Grandma  小波和奶奶,Eric Hill,"Spot loves Grandma, and Grandma loves Spot. The two spend a fun evening together, doing the special things that a puppy and his grandma love best, in this charming story, just right for young Spot fans.

 
length: (cm)17.4    　　　            　　　　　            　　　　　 width:(cm)11.4",https://www.xiaohuasheng.cn/book/65d9cfe0a40b58c
"Steve, Terror of the Seas",Megan Brewis,"The almost true story of Steve, the very scary fish.
Steve is not very big. His teeth aren't very sharp. And though he's no angelfish, there are far scarier creatures in the sea. So why is everyone so frightened of Steve?
With a brilliant new voice and distinctive art style, Megan Brewis is definitely 'one to watch'.",https://www.xiaohuasheng.cn/book/a600524e266409bf
Busy building site,"Mandy Archer, Ian Cunliffe","图像可爱的翻翻书，带孩子认识建筑工人怎么盖起房子的过程，用字不会太难，同时具有简易的翻页效果~ There's so much to look at and find on the building site! With sturdy flaps to lift and simple information, this is the perfect fun introduction to the building site for young children.",https://www.xiaohuasheng.cn/book/880a5656b809bd72
Tick Tock Clock,"Margery Cuyler, Robert Neubecker","Meet a pair of spirited siblings who show Grandma an afternoon like no other! Filled with lively illustrations and simple text, this rhyming I Can Read reinforces time-of-day and phonics concepts with humor, warmth, and a touch of mischief. Ages:3-5",https://www.xiaohuasheng.cn/book/3ada7d6e6d9a4690
Look At Me Mask Book: I'm A Monster!,Sebastian Braun 著,"Look At Me Mask Book: I'm a Monster!共十页，五个怪物面具！ 趣味面具书：我是怪兽 哈佛教育专家吴敏兰123绘本 第13本提高孩子想象力，锻炼孩子的社交能力，趣味面具书，边阅读、边玩瞬间变 运用这本可爱的硬壳书，只要把书展开，对准正中央的地方把鼻子套进去，眼珠对准洞处，马上可以让孩子们进行一场有趣的瞬间变脸游戏！孩子们可以选择扮演每页各种不同的怪物，并且学着辨认不同怪物的差异性并练习形容每只怪物的特征，家长或教师可以让孩子面对镜子，提醒孩子在“变身”的同时也要变声……
　　Look At Me Mask Book: I'm a Monster!非常适合进行角色扮演。比如万圣节时，利用变脸书让班上的每个小朋友进行怪物扮演，甚至书本还可以当作简单的角色剧场的道具。孩子们可以一人分饰多角，也可以每人分别扮演不同的怪兽，不用挖空心思制作道具和准备服装，一书在手，马上上演一场群魔乱舞的小话剧，激发孩子想象力，提高孩子社交能力！",https://www.xiaohuasheng.cn/book/93fa649e5661f2ba
Where Is Baby's Belly Button?,Karen Katz,"Where are Baby's hands? 
 Under the bubbles!   Where are baby's eyes? 
 Under her hat!   Karen Katz's adorable babies play peekaboo in this delightful interactive book. The sturdy format and easy-to-lift flaps are perfect for parents and children to share.
美国畅销儿童作家卡伦·卡茨，为小宝宝们创作了许多优秀的童书。这本翻翻书，讲的是小宝宝的身体部位。虽然是一个常见的主题，但书的形式却十分有创意。",https://www.xiaohuasheng.cn/book/4fd21efcac0be8e
Potato Pals E2: At the Zoo,Patrick Jackson. Roe Kimora,无简介,https://www.xiaohuasheng.cn/book/fbf6b1fe2d8af3e8
DOGGIES,Sandra Boynton,无简介,https://www.xiaohuasheng.cn/book/173e4e6d559286e8
"Nighty Night, Little Green Monster",Ed Emberley,"In this companion to Ed Emberley's classic GO AWAY BIG GREEN MONSTER, which has sold nearly a millon copies and is now celebrating 20 years in print, children once again enjoy this 'monsterously' fun format, featuring die-cuts on every spread. With each turn of the page, readers reveal Little Green Monster's little yellow eyes, his little red mouth, and even a cute, tiny white monster tooth. Then, when the stars begin to appear, it's time for bed...so, nighty night, little yellow eyes. Nighty night, little red mouth. Nighty night, cute little white tooth. Sweet dreams! Here's the perfect way to say 'sweet dreams' to Big Green Monster's little one - and to little readers, too.",https://www.xiaohuasheng.cn/book/88e28f4dd62ac317
猜猜是谁的屁股?,（日） 米津佑介 著；张瑜伽 译,"《创意大师洞洞翻翻启蒙纸板书•猜猜是谁的屁股？》这是谁的屁股？这些动物你可能都认识，可你能根据屁股看出它们是谁吗？来自国际创意大师的趣味翻翻书，等你来玩！猜一猜，翻一翻，有趣的互动亲子阅读是给宝宝最好的阅读兴趣启蒙，让宝宝爱上阅读就是这么简单！
Who has this bottom?
She’s got long ears and a soft, fluffy tail.
Lift the flap and see …
It’s a rabbit.
谁的屁股是这样的呢？
她长着长长的耳朵和软软的、毛茸茸的尾巴。
打开翻翻页，看看……
It’s a rabbit.
是一只小兔子。

Who can it be?
He’s got fluffy feathers and likes to waggle his yellow bottom.
Lift the flap and see …
这会是谁呢？
他长着蓬松的羽毛，走路时还喜欢摇摆着黄色的屁股。
打开翻翻页，看看……

It’s a duck.
是一只小鸭子。",https://www.xiaohuasheng.cn/book/a354cae91fd2804f
创意大师洞洞翻翻启蒙纸板书: 三角形,"米津祐介,（Yusuke,Yonezu） 著",[创意大师洞洞翻翻启蒙纸板书 三角形 双语版],https://www.xiaohuasheng.cn/book/f07474351b3adde5
Cock-A-Moo-Moo.,Juliet Dallas-Conte,无简介,https://www.xiaohuasheng.cn/book/f49a05e0e301d87c
Counting Kisses,Karen Katz,"How many kisses does a tired baby need?      Count  and  kiss    along with this bedtime book, now in a sturdy format perfect for the youngest readers.",https://www.xiaohuasheng.cn/book/5d36626e08e62f20
"blue hat,green hat",Sandra Boynton,"Blue Hat, Green Hat by boynton, sandra",https://www.xiaohuasheng.cn/book/25b9e76a9c143e6f
乐乐趣我会唱英文儿歌,刘菲 编；芝麻酱 绘,这是一本发声英文歌曲游戏书，由英文歌曲游戏书和发声玩具组成。专为学前儿童设计。在唱英文歌曲的过程中，宝宝可以根据图画和文字，学习每个步骤的动作，培养宝宝对英语的兴趣，节奏感和肢体协调能力。本书共20首英文歌曲。玩具按键功能为：每首歌曲对应一个按键。按下按键，宝宝可以跟着真人演唱的英文歌曲学习。,https://www.xiaohuasheng.cn/book/81abe7299fe4e940
The Gruffalo,"Julia Donaldson, Axel Scheffler (Illustrator)","A rhyming story of a mouse and a monster. Little mouse goes for a walk in a dangerous forest. To scare off his enemies, he invents tales of a fantastical creature called the Gruffalo. Imagine his surprise when he meets the real Gruffalo!",https://www.xiaohuasheng.cn/book/c8a6b8c181b0ed03
偷偷看里面: 动物的家,"(英)安娜·米尔波恩, (Ying)An Na·Mi Er Bo En (Editor)",动物园有海豹、大象、长颈鹿、猴子……小手翻一翻，还有哪些可爱的动物呢？动物的家各种各样：马厩、鸟窝、蜂巢、蚁穴。小手翻一翻，其他动物住在哪里呢？该系列引进自英国usborne出版社，是看里面系列的最新产品。洞洞 翻翻书的形式趣味十足，动物、自然的主题十分贴近生活，色彩鲜艳、充满美感，语言朗朗上口。书中巧妙地设计了许多问题，激发孩子的阅读兴趣，同时兼具启蒙认知功能。,https://www.xiaohuasheng.cn/book/f2e42946a586c588
Honey English: Where is My Candy?,Janine Lee,无简介,https://www.xiaohuasheng.cn/book/20f7525ff3f7c421
"Puppet books Child's play: What's the Time, Mr.Wolf?",Annie Kubler (Illustrator),A finger puppet game.  Follow Mr. Wolf and Little Wolf through the hours of their day.  Digital and analog clocks on each page help us to learn to tell time.,https://www.xiaohuasheng.cn/book/1be0e3171f573b59
Leslie Patricelli: The Birthday Box,Leslie Patricelli ,"""Refreshing. . . . A perfect birthday book for a toddler!""
— School Library Journal
(starred review) 

What’s better than getting a brand-new toy as a birthday gift? Playing with the box it came in! Climb in for a flight across the ocean, a jaunt on a sailing ship, some sledding down a slippery slope, and a brief stint as a robot. Good thing the toy pup that came inside the box is happy to come along for the ride! Leslie Patricelli draws from the well of parental wit and wisdom for another adventure starring everyone’s favorite baby character.",https://www.xiaohuasheng.cn/book/cc6bfc8b9b44c262
小波在哪里,艾瑞克．希爾 Book Taiwan,无简介,https://www.xiaohuasheng.cn/book/dab0d81dc9dfa3d4
基础英语1000词: First Thousand Words in English,希瑟·埃默里（Heather Amery） 著；斯蒂芬·卡特赖特 绘,"本书为插图单词书，涉及日常生活中1000个实用单词。配合插图看图识物，适合儿童阅读学习。本书以生动活泼的彩色图画介绍英文词汇和短语。全书最后配有词汇表。
本书的特点：1. 本书选词实用，内容丰富，贴近生活；2. 本书特色是以场景为分类标准，包含场景中常用词，适合实际运用；3. 附有词汇表。",https://www.xiaohuasheng.cn/book/d18fe8f4871d753e
One to Ten and Back Again,"Sue Heap, Nick Sharratt","A wonderful and unique look at counting and friendship. This very simple picture book is about two friends, Sue and Nick, who like very different things but are still best friends. They introduce us to all their favourite things from one boy called Nick and one girl called Sue to ten cakes for tea, and then all the way back down to one yellow moon shining in the night sky. The artwork is stunning with each artist contributing alternate pages in their own inimitable style. The deceptively simple text is perfect for children learning to read.",https://www.xiaohuasheng.cn/book/c36c1faf169b2151
偷偷看里面: 动物园,（英） 安娜·米尔波恩 著；（英） 西蒙娜·迪米特里 绘；惠旋 译,动物园有海豹、大象、长颈鹿、猴子……小手翻一翻，还有哪些可爱的动物呢？动物的家各种各样：马厩、鸟窝、蜂巢、蚁穴。小手翻一翻，其他动物住在哪里呢？该系列引进自英国usborne出版社，是看里面系列的最新产品。洞洞 翻翻书的形式趣味十足，动物、自然的主题十分贴近生活，色彩鲜艳、充满美感，语言朗朗上口。书中巧妙地设计了许多问题，激发孩子的阅读兴趣，同时兼具启蒙认知功能。,https://www.xiaohuasheng.cn/book/11af90f5b286c588
Toot (Leslie Patricelli board books),Leslie Patricelli ,"A subject dear to childrens hearts is in the spotlight as Leslie Patricellis beloved baby character returns.

Everybody does it: Kitty, Doggie, Daddy  even Mommy! And when Leslie Patricellis beloved bald baby does it while running, it sounds like a train. This frank and very funny look at a certain noisy body function is perfectly suited to the youngest of listeners, while their giggling older siblings will be happy to read it aloud.",https://www.xiaohuasheng.cn/book/98534e15d1ee185a
Maisy's bus,Lucy Cousins,"Maisy, the lovable little mouse, is at the driving wheel of the bus. Where is she going - to pick up her friends of course. A new picture book about the little mouse, who is featured in a popular animated television series.",https://www.xiaohuasheng.cn/book/bb7b71faba421db9
Go Away Mr Wolf!,Mathew Price,叩！叩！“有谁要吃冰淇淋吗？”一个沙哑的声音喊着，原来是不怀好意的野狼，小猪们很快地关上门大叫：“快走开，野狼先生。”书中更将主角的性格清楚描述出来，像是小猪们发现野狼的反应，从一开始的惊吓，到后来的窃窃私语、不屑的神情等不同的情绪反应。 “小猪和野狼”这个耳熟能详的组合，又重新做了一个特别的诠释。绘本里包含了GO AWAY MR.WOLF 和 THE OLD ALLIGATOR两个简单的故事，小朋友听完之后，还可以编个戏码自己演演看，身历其境的揣摩，一定能擦出更多火花并增进学习的效果！,https://www.xiaohuasheng.cn/book/52729e7b92c299f0
Down by the Station,"Stockham, Jess",可别小看儿歌对于英语学习的贡献。除了活泼的声音能建立英语语感，亮丽插画让孩子慢慢学习“看”书之外，儿歌里的用词，往往也是学习字汇的起点。,https://www.xiaohuasheng.cn/book/63766f35195d8eab
My very first mother goose,iona opie,无简介,https://www.xiaohuasheng.cn/book/421b3a987ac4faa8
Yawn,"Sally Symes, Nick Sharratt (Illustrator)","Bold graphic artwork and enticing die-cuts make for a bedtime read-aloud as infectious and irresistible as a . . . well, you know! 

Sean gave a YAWN While sitting on his mat. Guess who he gave it to? A scruffy, fluffy . . .

You'll need to turn the page to find out who is next to be overcome with a yawn in this fun and ingenious board book, although the rhyming text will offer some clues! One creature is purring, another pecking, one drifting around its bowl, another resting from a dig in the dirt. And there are others, too--all of whom can't wait to put on their pajamas and head off to bed!",https://www.xiaohuasheng.cn/book/caf16b4d92cfc208
My Mum,Anthony Browne,"She's nice, my mum ...My mum's a fantastic cook, and a brilliant juggler. She's a great painter, and the strongest woman in the world! She's really nice, my mum. A warm, funny tribute to Mum (and to mums everywhere) by the brilliant author/illustrator Anthony Browne.",https://www.xiaohuasheng.cn/book/807bc7df144030e3
My First Colours Let's Learn Them All,Dorling Kindersley（DK出版社） 著,"Hands-on first-colour fun with this ""My First"" tabbed board book. It offers a great first introduction to colours with bold, colour-themed pages featuring black-and-white, gold, silver, multi-coloured, and an 'I-spy' colours, shapes, and patterns page. With lots of fun-filled pictures, simple questions and things to name, your toddler will love discovering first colours using this colourful board book. This new addition to the attractive ""My First"" series will keep toddlers interested and enthusiastic time and time again.",https://www.xiaohuasheng.cn/book/c02dbc369adbf258
The Wheels On The Bus,Annie Kubler,"这本书绘图精良，同时还配歌曲音频，题材是男孩子最喜欢的交通工具，还有拟声词，主题活泼，孩子会在不知不觉中学会了很多英语词汇。
如果家长愿意花精力跟他一起学习一起唱，那么强烈推荐这一本。",https://www.xiaohuasheng.cn/book/de86c08091b6c2aa
Maisy Makes Gingerbread,Lucy Cousins,Maisy the mouse makes gingerbread cookies and shares them with her friends Charley and Tallulah.,https://www.xiaohuasheng.cn/book/8eeff138af4c862f
蹦!,（日） 松冈达英 文/图；蒲蒲兰 译,《蹦！》是卢湾早教指导服务中心的老师在第一次和宝宝沟通时常用的小法宝。老师们发现“Beng”是一个可以吸引宝宝的“奇特”语音。只要拿出这本书，用手指着画面。轻轻地、带点跳跃感地说‘Beng！”，总能让宝宝很快安静下来。原因其实很简单：开始学说话的宝宝，喜欢重复地听到自己常发的那类语音，而书从头到尾不断地重复“Beng”这个音，因为顺应了宝宝的这方面需要而带给宝宝很大的愉悦感。,https://www.xiaohuasheng.cn/book/f59fc595fa1a352f
Duck! Rabbit!,"Amy Krouse Rosenthal, Tom Lichtenheld  (Illustrations)","Is it a duck or a rabbit? Depends on how you look at it . With more than 100,000 copies sold, this classic picture book is now available in a sturdy board book that little ones will love holding in their own two hands. Smart, simple and funny, it offers a hilarious choice—and one readers of all ages will rejoice in making.",https://www.xiaohuasheng.cn/book/dfc0ae57ada3a8b0
Please and Thank You,"Jill Ackerman, Michelle Berg (Illustrator)","LITTLE SCHOLASTIC: PLEASE AND THANK YOU presents a lesson in manners with oversized lift-the-flaps throughout and pitch-perfect repetitive text! 
LITTLE SCHOLASTIC: PLEASE AND THANK YOU is the perfect introduction to these two magic phrases that all little ones should know. Engaging, oversized lift-the-flaps throughout the interiors allow children to listen, explore, and learn the power of ""please"" and ""thank you."" 
* OVERSIZED LIFT-THE-FLAPS",https://www.xiaohuasheng.cn/book/a446477996fc6f40
躲猫猫游戏书: 我长大了!,（美） 尼娜·兰登 绘；张芳 译,宝宝的第一本躲猫猫游戏书：我长大了（咬不坏，撕不烂，百玩不厌，连续畅销14年，欧美父母首选的亲子互动游戏书，原版原厂印刷，0-3岁适用，精装纸板书）,https://www.xiaohuasheng.cn/book/5f7b2b419c9ff3f5
偷偷看里面: 夜晚,（英） 安娜·米尔波恩 著；（英） 西蒙娜·迪米特里 绘；惠旋 译,该系列引进自英国usborne出版社，是看里面系列的新产品。洞洞+翻翻书的形式趣味十足，动物、自然的主题十分贴近生活，色彩鲜艳、充满美感，语言朗朗上口。书中巧妙地设计了许多问题，激发孩子的阅读兴趣，同时兼具启蒙认知功能。,https://www.xiaohuasheng.cn/book/3567678c1e51c448
我们的身体,［法］帕斯卡尔·艾德兰 文；［法］罗伯特·巴尔博里尼 图；荣信文化 编译,《我们的身体》形式新颖，知识全面，妙趣横生，众多新奇设计会让小读者大开眼界，惊喜不断！翻翻页--翻开“牙齿,https://www.xiaohuasheng.cn/book/f312698ba659defb
Maisy Goes to Work (A Maisy Sticker Book),Lucy Cousins,"Lucy Cousins is the creator of many wonderful picture books for children, including Yummy: My Favourite Nursery Stories and Hooray for Fish! , as well as her bestselling books about Maisy the mouse. About I'm the Best, she says, ""I had the idea for this book after winning a tennis competition. I loved telling all my friends and family about it, but then I realized that I was probably showing off, like Dog!"" Lucy Cousins lives in Hampshire with her partner, four children and very fluffy dog.",https://www.xiaohuasheng.cn/book/bc49637de231c959
Busy farm,"Mandy Archer, Ian Cunliffe","图像可爱的翻翻书，带孩子认识农夫的一天作息，用字不会太难，同时具有简易的翻页效果~ 里面也有许多和农夫相关的单字哦! There's so much to look at and find on the building site! With sturdy flaps to lift and simple information, this is the perfect fun introduction to the farmer for young children.",https://www.xiaohuasheng.cn/book/275544abf0859972
I Can Read Biscuit : Biscuit,Alyssa Satin Capucilli（艾丽莎·撒汀·卡普次里） 著；Pat Schories（帕特·舒瑞斯） 绘,"Woof! Woof! 
It's time for bed, but Biscuit wants to have a snack, and play, and hear stories. Will he ever go to sleep?",https://www.xiaohuasheng.cn/book/e9210f53f5289dba
Goodnight Moon,Margaret Wise Brown（玛格丽特·怀斯·布朗） 著；Clement Hurd（克莱门特·赫德） 绘,"A beloved bedtime classic, both lovely and soothing. 
In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room—to the picture of the three little bears sitting in chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one—he says goodnight.
在绿色的大房间里，一只小兔子躺在床上。“晚安，房间。晚安，月亮。”他向这个灯光柔和的房间里的一切熟悉事物：三只小熊坐在椅子上的那幅画，座钟和短袜，小猫和手套，等等的所有东西，一一道晚安。它从孩子的视角出发，获得了无数大小读者的喜爱，荣誉等身，经久不衰。",https://www.xiaohuasheng.cn/book/816ca33fe873c7de
Where Is the Green Sheep?,Judy Horacek（朱迪·霍拉赛克），Mem Fox（曼姆·福克斯） 著,"这本也是非常经典的韵文绘本之一，画面很漂亮很生动，也有中文译本。作者Mem Fox是使用节奏韵律的高手，他的绘本小朋友百听不厌，内在的节奏韵律起了很大的作用。

Here is the wind sheep,
And here is the wave sheep.
Here is the scared sheep,
And here is the brave sheep.

Mem把它称之为A/B/C/B韵律模式，四句一组，每组有两对，整本书都是这样一个节奏模式不断重复着。每对中的两个概念都是互有联系的，这样的联系往往体现了概念的对比性，这对孩子的认知来说是非常不错的。",https://www.xiaohuasheng.cn/book/d4cee991f98370ba
Leslie Patricelli: Baby Happy Baby Sad,Leslie Patricelli ,"YES! This must-have toddler title sheds light on some concepts with a comical flair that will make readers HAPPY. 

A towering ice-cream cone makes Baby HAPPY. But when that delectable treat goes splat, it makes Baby SAD. And how quickly HAPPY turns to SAD when a favorite red balloon flies away! Even the littlest listeners will relate to this playful look at a pair of emotions that are part of every baby’s day.",https://www.xiaohuasheng.cn/book/df05867c0b8383bd
宝宝的光学,[加] 克里斯·费利 著，宝蛋社 译,本书是由一位物理学家、数学家和三个处于萌芽状态的小科学家之父亲ChrisFerrie（克里斯·费利）所著，他在加拿大滑铁卢大学获得数学物理博士学位。作为一位博士爸爸，过去几年做了一件有意思的事情：把外界看来高深的数学和物理理论、知识和实验，用绘本的形式，教给自己的三个孩子。本书是丛书中的一本。光学是经典物理学*常重要的基石之一，也是十分生动有趣的物理内容。本书通过绘本的形式依次阐释了光的反射、投射、折射、色散等诸多现象，直至解释了彩虹的产生原理，条理清晰，寓教于乐，给宝宝们上了一堂丰富、全面的光学课。科学教育是现代婴幼儿素质教育的必不可少的一环，本书可作为婴幼儿早教的绘本书，亦可作为学龄前孩子的科普书，内容活泼，题材新颖，是带领宝宝们叩响科学之门的启蒙佳作。,https://www.xiaohuasheng.cn/book/65daa8b8ddcb4938
Biscuit Storybook Collection,"Alyssa Satin Capucilli , Pat Schories  (Illustrations)","The sweet, yellow puppy is here – Woof!   Join Biscuit in all his adventures. Each day presents the chance to make new friends or learn something new.    A collection of ten stories about the sweet, yellow puppy Biscuit.   Contains: Bathtime for Biscuit, Biscuit, Biscuit and the Bunny, Biscuit Goes to the Park, Biscuit Meets the Neighbors, Biscuit's Birthday, Biscuit's Day at the Beach, Biscuit's New Trick, Biscuit's Picnic and Time to paint, Biscuit!   Ages 2+",https://www.xiaohuasheng.cn/book/5eecb17a2e9f674
Maisy's Pool,Lucy Cousins,Maisys Pool,https://www.xiaohuasheng.cn/book/2a3cc67e14a296eb
"A Boot, a Hat, Now Who is That?","Nick Sharratt, Sally Symes","Turn the pages, lift the flaps and see if you can guess who's hiding. Colourful and fun with Nick Sharratt's bold, bright illustrations, this is a simple novelty board book for the very young. With lively rhythmic read-aloud text, little children will love guessing who's hiding over the page.",https://www.xiaohuasheng.cn/book/853fe37d67474fe9
"Puppet books Child's play: See You Later, Alligator!",Annie Kubler,"Crocodile has lots of important chores to do around the home, but alligator is too busy to join in. Help teach him an important lesson withlots of finger puppet fun.
孩子可以把小手指套进去装扮成故事的主角，可以根据每页故事的发展和变化，边用小手操控手偶做出各种动作和表情，边用绘声绘色的语言把故事讲出来。孩子小的时候，爸爸妈妈可以反复表演给孩子看，利用手偶跟孩子互动。孩子在模仿中学习，总有一天会学会自己来表演和讲故事。",https://www.xiaohuasheng.cn/book/679c273cb2f99dbe
Splish Splash,无作者,无简介,https://www.xiaohuasheng.cn/book/c12685e869bfb0ef
拍拍小兔子系列 Pat the Bunny,Dorothy Kunhardt,"这是一本使用平行型逻辑思维的书，全面调动孩子的视觉、触觉、嗅觉、动手能力、且能帮助孩子养成良好习惯、可以亲子互动的书。
这本书共8页，是正常书籍的一半大小，环装。阅读时间在10-30分钟不等。
1、涉及的类型全面。里面每一页都是一种不一样的绘本类型，有触摸的，有洞洞的，有翻翻的，有香昧的，有镜子充分调动起宝宝的视觉、触觉、嗅觉和听觉各感官的感受能力，家长们也借由此书实现与宝宝很好的互动和交谈。
2、英文原版但单词很简单，几乎没有生词。对于英文能力稍有欠缺的爸妈来说，也可以从容应对。小而轻。出门携带特别方便，出去玩坐车时间长了，拿出来能玩一会",https://www.xiaohuasheng.cn/book/9066931b03e09a18
Maisy's Plane,Lucy Cousins,"Maisy is flying high in the sky a shaped board book full of fun and learning.

Its Eddies birthday, and Maisy has a special surprise. Join our favorite mouse and her pals as they go up and away in her plane, passing Tallulah in her hot-air balloon and doing a loop-the-loop in the skies. Maisy even delivers a happy birthday message, all in time for Eddies party!",https://www.xiaohuasheng.cn/book/23167b3ce70ddd57
"Does a Kangaroo Have a Mother, Too?",Eric Carle,"Of course they do -- just like me and you! From baby kangaroos, called joeys, to baby elephants, called calfs, every kind of animal has a mother. Inside this playful and colorful book you will see all sorts of different babies with their mothers, all with one thing in common: Their mothers love them very, very much -- just like your mother loves you! Come right in and meet the family -- the animal family, that is -- in words and pictures by Eric Carle.",https://www.xiaohuasheng.cn/book/9a4d9f0bcb6e0cf4
