基本信息,现价,原价,时间,里程,年份,排量
雪佛兰 迈锐宝 2018款 530T 自动豪华版,8.88万,,2017年,6.2万公里,2018款,1.5T
宝马1系 2013款 改款 116i 都市型(进口),9.90万,,2013年,5.9万公里,2013款,1.6T
本田 雅阁 2013款 2.0L SE,9.14万,,2013年,8.7万公里,2013款,2.0L
奔驰A级 2017款 A 200 时尚型(进口),17.68万,,2017年,0.6万公里,2017款,1.6T
Jeep 指南者 2017款 200T 自动臻享版,11.03万,,2017年,5.1万公里,2017款,1.4T
斯柯达 明锐 2015款 1.4TSI 手动逸俊版,5.54万,,2014年,7.4万公里,2015款,1.4T
雷克萨斯ES 2015款 200 舒适版,23.02万,,2015年,4.7万公里,2015款,2.0L
斯柯达 明锐 2017款 1.6L 自动智行版,7.99万,,2017年,4.3万公里,2017款,1.6L
凯迪拉克ATS-L 2017款 28T 时尚型,16.88万,,2018年,1.7万公里,2017款,2.0T
吉利 嘉际新能源 2019款 1.5TD PHEV 耀享型,11.88万,,2019年,1.7万公里,2019款,1.5T
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,7.38万,15.08万,2015年,7.7万公里,2016款,1.5L
现代ix25 2015款 1.6L 自动两驱智能型GLS,7.00万,15.50万,2017年,5.3万公里,2015款,1.6L
吉利 帝豪GL 2017款 1.8L 手动精英型,4.45万,,2017年,2.4万公里,2017款,1.8L
吉利 博越 2016款 2.0L 手动智尚型,5.70万,11.81万,2017年,1.9万公里,2016款,2.0L
奔驰CLS级 2015款 CLS 260(进口),28.00万,77.94万,2015年,7.8万公里,2015款,2.0T
奔驰C级 2015款 C 200 运动版 4MATIC,25.00万,42.31万,2016年,2.1万公里,2015款,2.0T
英菲尼迪Q50 2014款 2.0T 舒适版(进口),16.00万,35.36万,2015年,3.2万公里,2014款,2.0T
本田XR-V 2017款 1.8L VTi CVT豪华版,11.60万,,2017年,3.8万公里,2017款,1.8L
长安欧尚 欧尚A800 2017款 1.5T 手动豪享型,4.56万,,2017年,2.3万公里,2017款,1.5T
吉利 博越 2016款 1.8TD 手动智慧型,6.08万,,2016年,7.9万公里,2016款,1.8T
奔驰C级 2015款 C 200 旅行轿车(进口),24.86万,,2016年,5.9万公里,2015款,2.0T
宝沃汽车 宝沃BX7 2016款 28T 两驱精英版 5座,8.99万,,2017年,4.3万公里,2016款,2.0T
日产 骐达 2016款 1.6L CVT智行版,8.94万,,2018年,1.7万公里,2016款,1.6L
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,6.00万,9.31万,2018年,3.3万公里,2016款,1.5L
现代ix25 2015款 2.0L 自动两驱智能型GLS,7.77万,,2015年,4.0万公里,2015款,2.0L
三菱 欧蓝德 2016款 2.4L 四驱精英版 5座,12.87万,,2017年,6.8万公里,2016款,2.4L
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,9.50万,15.08万,2016年,3.6万公里,2016款,1.5L
吉利 博越 2016款 1.8TD 自动智慧型,7.53万,,2017年,4.2万公里,2016款,1.8T
斯柯达 明锐 2016款 1.6L 手动智行版,5.51万,,2016年,5.0万公里,2016款,1.6L
别克GL8 2013款 3.0L GT豪华商务豪雅版,14.60万,40.15万,2013年,9.3万公里,2013款,3.0L
丰田 雷凌 2016款 1.6G CVT精英版,8.67万,13.55万,2016年,5.8万公里,2016款,1.6L
大众 宝来 2016款 1.6L 手动时尚型,5.58万,11.70万,2016年,11.3万公里,2016款,1.6L
别克 君越 2012款 2.4L SIDI雅致版,6.66万,25.61万,2012年,6.4万公里,2012款,2.4L
本田 雅阁 2010款 2.4L 百万纪念版,7.58万,24.94万,2010年,15.1万公里,2010款,2.4L
别克 英朗 2016款 15N 自动精英型,6.70万,13.77万,2016年,5.5万公里,2016款,1.5L
传祺GS4 2015款 200T G-DCT精英版,6.28万,13.66万,2016年,9.8万公里,2015款,1.3T
丰田 威驰FS 2017款 1.3L CVT锋锐版,6.55万,8.99万,2017年,1.4万公里,2017款,1.3L
日产 轩逸 2016款 1.6XV CVT智享版,9.60万,15.17万,2018年,2.9万公里,2016款,1.6L
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,7.38万,9.31万,2018年,2.8万公里,2016款,1.5L
福特 领界 2019款 EcoBoost 145 CVT尊领型 国V,13.98万,16.26万,2019年,0.3万公里,2019款,1.5T
雪铁龙 世嘉 2008款 两厢 1.6L 手动舒适型,2.00万,12.90万,2009年,5.7万公里,2008款,1.6L
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,6.80万,19.74万,2014年,6.7万公里,2013款,2.0L
马自达 睿翼 2009款 2.5L 自动至尊版,5.95万,24.94万,2011年,7.2万公里,2009款,2.5L
凯迪拉克XTS 2015款 28T 舒适型,15.50万,37.98万,2015年,14.8万公里,2015款,2.0T
大众POLO 2016款 1.6L 自动舒适型,6.18万,11.28万,2016年,2.4万公里,2016款,1.6L
丰田 卡罗拉 2017款 改款双擎 1.8L E-CVT精英版,11.00万,15.93万,2017年,5.3万公里,2017款,1.8L
福特 福克斯 2015款 两厢 1.6L 自动舒适型,5.78万,13.55万,2016年,4.0万公里,2015款,1.6L
宝马3系 2020款 325Li M运动曜夜版,35.98万,39.50万,2019年,0.4万公里,2020款,2.0T
吉利 远景 2019款 升级版 1.5L CVT豪华型 国VI,5.50万,7.59万,2020年,100公里,2019款,1.5L
大众 桑塔纳 2016款 1.6L 自动风尚版,6.50万,10.84万,2018年,6.9万公里,2016款,1.6L
奔驰E级 2015款 改款 E 200 L,25.80万,46.57万,2016年,5.9万公里,2015款,2.0T
斯柯达 速派 2016款 TSI380 DSG旗舰版,11.98万,30.05万,2016年,8.1万公里,2016款,2.0T
宝马1系 2012款 116i 领先型(进口),7.98万,28.11万,2012年,8.5万公里,2012款,1.6T
丰田 汉兰达 2009款 2.7L 两驱5座运动版,11.30万,30.26万,2011年,14.4万公里,2009款,2.7L
别克 凯越 2008款 1.6LE-MT,1.98万,11.71万,2009年,12.5万公里,2008款,1.6L
福特 野马 2019款 2.3L EcoBoost(进口),33.28万,40.14万,2019年,0.2万公里,2019款,2.3T
别克 昂科拉 2014款 1.4T 自动两驱都市精英型,5.63万,17.36万,2014年,6.6万公里,2014款,1.4T
宝马X1 2010款 sDrive18i豪华型(进口),9.39万,39.84万,2010年,12.1万公里,2010款,2.0L
现代 索纳塔八 2013款 2.0L 自动尊贵版,6.80万,21.59万,2013年,6.4万公里,2013款,2.0L
中华H530 2017款 1.6L 自动舒适型,5.30万,10.40万,2020年,0.6万公里,2017款,1.6L
宝马5系 2011款 535Li 豪华型,16.98万,75.61万,2010年,15.6万公里,2011款,3.0T
雪佛兰 科沃兹 2018款 320 自动欣享天窗版,6.00万,9.87万,2018年,2.1万公里,2018款,1.5L
Jeep 自由光 2016款 2.0L 优越版,10.98万,23.86万,2016年,4.5万公里,2016款,2.0L
宝马5系 2014款 520Li 典雅型,22.68万,47.28万,2014年,10.4万公里,2014款,2.0T
起亚K5 2016款 2.0L 自动LUX,10.38万,19.08万,2017年,4.2万公里,2016款,2.0L
凯迪拉克ATS-L 2016款 28T 时尚型,16.58万,34.60万,2016年,4.4万公里,2016款,2.0T
大众 捷达 2019款 梦想版 1.5L 自动时尚型,6.98万,10.29万,2019年,4.6万公里,2019款,1.5L
别克 凯越 2015款 1.5L 自动经典型,4.66万,9.98万,2016年,7.2万公里,2015款,1.5L
起亚 狮跑 2011款 2.0L 自动两驱版GLS,4.90万,19.95万,2010年,9.8万公里,2011款,2.0L
丰田 皇冠 2018款 2.0T 运动版,26.28万,31.46万,2018年,2.4万公里,2018款,2.0T
Jeep 自由光 2016款 2.4L 领先版,11.80万,24.94万,2016年,6.6万公里,2016款,2.4L
起亚K3 2016款 1.6L 手动GL,5.30万,10.51万,2017年,3.5万公里,2016款,1.6L
本田 思域 2013款 十周年纪念 1.8L 自动豪华版,7.80万,17.13万,2013年,12.0万公里,2013款,1.8L
大众 速腾 2015款 1.6L 自动舒适型,8.20万,16.37万,2016年,6.5万公里,2015款,1.6L
奔驰CLS级 2018款 CLS 300 动感型(进口),55.00万,68.80万,2019年,1.1万公里,2018款,2.0T
日产 奇骏 2017款 2.0L CVT舒适版 2WD,16.50万,21.36万,2018年,1.9万公里,2017款,2.0L
福特 福睿斯 2015款 1.5L 自动时尚型,6.60万,13.00万,2016年,2.2万公里,2015款,1.5L
斯巴鲁 森林人 2013款 2.0i 自动豪华版,11.60万,27.66万,2013年,8.1万公里,2013款,2.0L
日产 逍客 2016款 2.0L CVT豪华版,9.90万,18.21万,2015年,7.6万公里,2016款,2.0L
别克GL8 2006款 陆尊 3.0L LT 豪华版,6.30万,35.60万,2010年,11.1万公里,2006款,3.0L
江淮 瑞风S3 2014款 1.5L 手动豪华智能型,2.95万,8.12万,2014年,6.8万公里,2014款,1.5L
现代 名图 2014款 1.8L 自动智能型GLS,8.30万,16.26万,2016年,8.9万公里,2014款,1.8L
奔驰C级 2010款 C 200 CGI 优雅型,8.50万,37.77万,2010年,14.3万公里,2010款,1.8T
起亚KX3 2015款 2.0L 自动两驱DLX,7.90万,17.35万,2016年,6.0万公里,2015款,2.0L
大众 途观 2016款 300TSI 自动两驱风尚版,12.60万,22.99万,2016年,3.7万公里,2016款,1.8T
大众 高尔夫 2012款 1.6 自动舒适型,7.20万,14.42万,2014年,8.9万公里,2012款,1.6L
别克GL8 2011款 2.4L LT行政版,6.80万,26.92万,2012年,12.4万公里,2011款,2.4L
标致207 2010款 三厢 1.4L 手动品乐纪念版,1.98万,8.88万,2010年,10.3万公里,2010款,1.4L
大众 迈腾 2016款 1.8TSI 智享豪华型,13.08万,25.49万,2016年,7.4万公里,2016款,1.8T
雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,6.55万,19.74万,2013年,12.4万公里,2013款,2.0L
大众 捷达 2017款 1.5L 手动时尚型,5.98万,9.29万,2018年,3.7万公里,2017款,1.5L
奔驰C级 2011款 C 180K 经典型,10.58万,33.43万,2011年,8.5万公里,2011款,1.6T
江铃 驭胜S350 2013款 2.4T 自动两驱柴油豪华版5座,6.18万,16.15万,2014年,10.1万公里,2013款,2.4T
别克 君越 2011款 2.4L SIDI雅致版,6.58万,25.50万,2011年,9.2万公里,2011款,2.4L
雪佛兰 爱唯欧 2011款 三厢 1.4L MT SL,3.20万,8.88万,2013年,8.7万公里,2011款,1.4L
大众CC 2015款 1.8TSI 豪华型,14.38万,29.18万,2015年,11.0万公里,2015款,1.8T
日产 轩逸 2012款 1.6XL CVT豪华版,6.68万,14.65万,2013年,11.2万公里,2012款,1.6L
标致301 2014款 1.6L 手动舒适版,3.50万,9.19万,2015年,3.3万公里,2014款,1.6L
现代 索纳塔八 2011款 2.0L 自动领先版,5.80万,19.53万,2011年,8.9万公里,2011款,2.0L
斯柯达 晶锐 2008款 1.4L 手动晶致版,1.98万,8.89万,2010年,12.3万公里,2008款,1.4L
华泰 圣达菲经典 2013款 2.0T 柴油手动两驱天窗型,2.47万,10.82万,2013年,8.4万公里,2013款,2.0T
本田 锋范 2015款 1.5L CVT舒适版,6.40万,9.75万,2016年,4.2万公里,2015款,1.5L
标致3008 2014款 1.6THP 自动逐乐版,6.20万,23.85万,2014年,8.8万公里,2014款,1.6T
日产 逍客 2011款 2.0XL 火 CVT 2WD,5.68万,17.89万,2011年,7.8万公里,2011款,2.0L
吉利 远景X3 2018款 1.5L 自动周年版,5.40万,7.37万,2019年,3.7万公里,2018款,1.5L
标致408 2015款 1.2T 自动豪华版,6.65万,16.47万,2017年,9.3万公里,2015款,1.2T
哈弗H2 2014款 1.5T 手动两驱精英版,3.98万,11.27万,2014年,10.8万公里,2014款,1.5T
宝马X1 2015款 sDrive18i 时尚晋级版,14.80万,30.94万,2015年,4.8万公里,2015款,2.0T
吉利 博越 2016款 1.8TD 自动智慧型,7.98万,15.17万,2017年,4.4万公里,2016款,1.8T
哈弗H6 Coupe 2019款 1.5T 自动两驱豪华智联版 国V,9.90万,11.94万,2020年,100公里,2019款,1.5T
雪佛兰 迈锐宝 2014款 2.0L 自动豪华版,7.38万,20.29万,2014年,6.4万公里,2014款,2.0L
Jeep 自由光 2016款 2.4L 领先版,12.28万,24.94万,2016年,6.7万公里,2016款,2.4L
本田 思域 2013款 十周年纪念 1.8L 自动豪华版,7.98万,17.13万,2014年,3.1万公里,2013款,1.8L
福特 蒙迪欧 2013款 2.0L GTDi200时尚型,10.55万,22.01万,2016年,13.1万公里,2013款,2.0T
Jeep 自由光 2016款 2.4L 优越版,11.49万,29.94万,2016年,7.7万公里,2016款,2.4L
奔驰C级 2015款 改款 C 180 L 运动型,20.98万,35.36万,2015年,11.4万公里,2015款,1.6T
荣威eRX5 2017款 eRX5 50T 混动互联尊贵旗舰版,11.98万,28.86万,2019年,2.6万公里,2017款,1.5T
丰田 YARiS L 致炫 2016款 改款 1.5G CVT炫动版,7.10万,10.18万,2017年,2.1万公里,2016款,1.5L
现代 悦动 2010款 1.6L MT GL,2.30万,10.83万,2010年,11.9万公里,2010款,1.6L
起亚K3 2016款 1.6L 自动GL,6.76万,11.59万,2017年,5.8万公里,2016款,1.6L
斯柯达 昊锐 2010款 1.4TSI DSG优雅版,4.86万,21.70万,2011年,13.1万公里,2010款,1.4T
福特 福克斯 2011款 两厢 1.8L 自动时尚型,3.50万,13.87万,2011年,11.6万公里,2011款,1.8L
别克 君威 2010款 2.0L 世博版,4.68万,22.13万,2011年,9.1万公里,2010款,2.0L
福特 翼搏 2013款 1.5L 自动尊贵型,6.20万,13.87万,2015年,5.9万公里,2013款,1.5L
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,9.80万,20.60万,2016年,6.2万公里,2013款,1.5T
宝马1系 2013款 改款 118i 领先型(进口),11.50万,31.70万,2013年,9.4万公里,2013款,1.6T
雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座,7.98万,22.78万,2014年,10.0万公里,2014款,2.4L
大众 速腾 2012款 1.6L 自动舒适型,7.10万,16.37万,2014年,6.6万公里,2012款,1.6L
大众 朗逸 2013款 改款经典 1.6L 自动舒适版,6.73万,14.97万,2015年,9.4万公里,2013款,1.6L
雪佛兰 科沃兹 2016款 1.5L 自动欣享版,5.68万,9.65万,2017年,3.2万公里,2016款,1.5L
本田 飞度 2018款 1.5L CVT舒适版,7.10万,8.88万,2018年,5.4万公里,2018款,1.5L
别克 君威 2012款 2.0L 豪华版,6.63万,22.13万,2013年,9.1万公里,2012款,2.0L
北汽绅宝 绅宝X25 2015款 1.5L 手动精英型,3.45万,6.93万,2016年,3.2万公里,2015款,1.5L
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,25.90万,32.00万,2016年,5.5万公里,2015款,2.0T
本田 雅阁 2018款 260TURBO 精英版 国V,16.68万,20.60万,2018年,4.7万公里,2018款,1.5T
大众 朗行 2013款 1.6L 自动风尚型,6.18万,13.88万,2014年,5.6万公里,2013款,1.6L
日产 楼兰 2015款 2.5 S/C HEV XL 两驱混动尊雅版,18.18万,35.36万,2017年,7.0万公里,2015款,2.5T
奔驰C级 2013款 C 180 经典型 Grand Edition,13.80万,34.19万,2014年,6.1万公里,2013款,1.8T
别克GL8 2011款 2.4L LT行政版,6.20万,26.92万,2012年,19.2万公里,2011款,2.4L
奔驰E级 2010款 E 200 CGI 优雅型(进口),12.50万,52.97万,2010年,13.2万公里,2010款,1.8T
奔驰C级 2015款 改款 C 200 L 运动型,27.80万,38.40万,2018年,0.6万公里,2015款,2.0T
大众 2019款 宝来·传奇 1.5L 自动时尚型 国VI,8.58万,11.81万,2020年,100公里,2019款,1.5L
斯柯达 晶锐 2016款 1.4L 自动车享版,6.40万,9.22万,2017年,2.1万公里,2016款,1.4L
日产 逍客 2010款 20X雷 CVT 2WD,5.20万,20.49万,2010年,8.4万公里,2010款,2.0L
现代 索纳塔八 2013款 2.4L 自动豪华版 国IV,7.50万,22.78万,2014年,6.6万公里,2013款,2.4L
斯柯达 晶锐 2011款 1.4L 手动晶致版,2.10万,8.56万,2010年,6.1万公里,2011款,1.4L
宝马2系旅行车 2016款 218i 时尚型,14.58万,25.49万,2018年,1.6万公里,2016款,1.5T
福特 福睿斯 2017款 幸福版 1.5L 自动时尚型,6.66万,13.28万,2018年,3.9万公里,2017款,1.5L
大众 桑塔纳 2016款 1.6L 自动舒适版,6.38万,12.35万,2017年,10.5万公里,2016款,1.6L
日产 奇骏 2014款 2.5L CVT尊享版 4WD,14.30万,,2017年,8.1万公里,2014款,2.5L
别克GL6 2018款 18T 6座豪华型,10.05万,,2018年,2.3万公里,2018款,1.3T
马自达 阿特兹 2017款 2.5L 蓝天尊崇版,14.00万,,2017年,6.3万公里,2017款,2.5L
大众 高尔夫 2014款 1.4TSI 自动豪华型,8.30万,18.01万,2014年,2.1万公里,2014款,1.4T
福特 福克斯 2017款 两厢 1.6L 自动风尚型智行版,6.66万,15.07万,2017年,4.1万公里,2017款,1.6L
别克 英朗 2016款 15N 自动精英型,6.29万,,2016年,3.0万公里,2016款,1.5L
日产 轩逸 2016款 1.6XV CVT智享版,8.88万,15.17万,2018年,3.2万公里,2016款,1.6L
吉利 帝豪GL 2017款 1.3T 自动尊贵型,6.15万,,2017年,4.3万公里,2017款,1.3T
大众 蔚领 2017款 230TSI DSG舒适型,8.82万,,2017年,3.3万公里,2017款,1.4T
马自达CX-5 2017款 2.5L 自动两驱智尊型 国V,15.17万,,2017年,5.0万公里,2017款,2.5L
大众 宝来 2016款 1.6L 自动时尚型,7.00万,13.00万,2017年,6.5万公里,2016款,1.6L
马自达 昂克赛拉 2016款 三厢 1.5L 自动豪华型,8.34万,,2017年,1.6万公里,2016款,1.5L
别克 君越 2018款 20T 精英型,14.42万,,2018年,4.1万公里,2018款,1.5T
马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,8.29万,,2017年,1.8万公里,2016款,1.5L
大众 朗逸 2018款 280TSI DSG豪华版 国V,10.74万,,2019年,1.6万公里,2018款,1.4T
福特 蒙迪欧 2013款 1.5L GTDi180时尚型,8.00万,20.60万,2014年,8.8万公里,2013款,1.5T
本田 飞度 2018款 1.5L CVT潮跑+版,7.50万,10.18万,2018年,0.9万公里,2018款,1.5L
雪铁龙C5 2012款 2.0L 自动尊享型,5.42万,20.61万,2012年,7.5万公里,2012款,2.0L
大众 速腾 2015款 230TSI 自动豪华型,9.71万,,2016年,2.4万公里,2015款,1.4T
本田 缤智 2017款 1.5L CVT两驱舒适型,10.00万,14.85万,2017年,4.1万公里,2017款,1.5L
Jeep 自由光 2016款 2.4L 领先版,10.00万,24.94万,2016年,9.0万公里,2016款,2.4L
宝马3系 2019款 320Li 时尚型,26.00万,34.39万,2019年,2.5万公里,2019款,2.0T
马自达 阿特兹 2015款 2.0L 蓝天豪华版,10.43万,,2016年,6.5万公里,2015款,2.0L
丰田 雷凌 2019款 185T CVT豪华版 国VI,10.63万,,2019年,1.2万公里,2019款,1.2T
Jeep 自由侠 2017款 180T 自动高能版,8.19万,,2018年,3.8万公里,2017款,1.4T
别克 君威 2015款 1.6T 精英技术型,8.50万,22.78万,2016年,5.3万公里,2015款,1.6T
奥迪A3 2015款 Sportback 35 TFSI 百万纪念智领型,11.65万,,2016年,4.8万公里,2015款,1.4T
奥迪A6L 2017款 TFSI 技术型,25.10万,,2017年,6.6万公里,2017款,1.8T
现代 菲斯塔 2019款 280TGDi 运动版 国VI,11.14万,,2019年,1.0万公里,2019款,1.6T
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 时尚型,15.00万,23.86万,2018年,2.7万公里,2018款,1.4T
福特 福克斯 2015款 三厢 1.6L 手动风尚型,6.00万,13.66万,2016年,2.8万公里,2015款,1.6L
日产 轩逸 2014款 1.6XV CVT尊享版,6.90万,,2014年,4.0万公里,2014款,1.6L
凯迪拉克CT6 2017款 28T 豪华型,25.22万,,2018年,3.6万公里,2017款,2.0T
宝马X1 2015款 sDrive18i 领先晋级版,15.04万,,2015年,7.6万公里,2015款,2.0T
大众 速腾 2014款 1.6L 自动舒适型,6.49万,,2013年,3.9万公里,2014款,1.6L
大众 途观L 2018款 330TSI 自动两驱豪华版,18.00万,28.20万,2018年,1.3万公里,2018款,2.0T
福特 翼虎 2013款 2.0L GTDi 四驱运动型,9.02万,28.53万,2014年,6.7万公里,2013款,2.0T
大众 速腾 2018款 180TSI DSG臻享版,9.94万,,2018年,1.8万公里,2018款,1.2T
马自达8 2015款 2.5L 领航版,13.00万,28.20万,2016年,11.1万公里,2015款,2.5L
吉利 远景X3 2017款 1.5L 自动精英型,4.50万,6.72万,2019年,1.4万公里,2017款,1.5L
奇瑞 瑞虎5 2015款 1.5T 手动家悦版,4.05万,,2015年,3.4万公里,2015款,1.5T
马自达 阿特兹 2014款 2.0L 蓝天豪华版,10.00万,20.49万,2015年,5.6万公里,2014款,2.0L
大众 高尔夫 2016款 1.6L 自动时尚型,8.00万,14.53万,2016年,2.8万公里,2016款,1.6L
马自达 昂克赛拉 2017款 两厢 2.0L 自动运动型 国V,11.58万,17.36万,2017年,2.8万公里,2017款,2.0L
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,5.00万,13.56万,2015年,9.5万公里,2013款,1.6L
丰田 卡罗拉 2014款 1.6L CVT GL,8.00万,12.79万,2016年,4.2万公里,2014款,1.6L
宝马5系 2014款 525Li 领先型,25.00万,50.65万,2015年,3.5万公里,2014款,2.0T
斯巴鲁 傲虎 2017款 2.5i 运动导航版 EyeSight,16.00万,35.80万,2017年,13.9万公里,2017款,2.5L
日产 天籁 2018款 2.0L XL 智进版,13.18万,,2018年,3.6万公里,2018款,2.0L
本田 冠道 2017款 240TURBO 两驱尊享版,20.23万,,2017年,2.2万公里,2017款,1.5T
丰田 凯美瑞 2015款 2.0G 领先版,13.00万,,2016年,3.2万公里,2015款,2.0L
大众 2018款 途安L 280TSI 自动舒适版 7座 国V,11.61万,,2018年,2.5万公里,2018款,1.4T
哈弗H2 2016款 红标 1.5T 手动四驱豪华型,5.50万,12.79万,2016年,3.2万公里,2016款,1.5T
MINI 2016款 1.5T COOPER 五门版,16.98万,,2016年,2.2万公里,2016款,1.5T
斯巴鲁 森林人 2013款 2.5i 自动尊贵版,13.24万,,2014年,7.2万公里,2013款,2.5L
宝马2系旅行车(进口) 2015款 218i 领先型(进口),12.61万,,2015年,3.2万公里,2015款,1.5T
宝马X1 2014款 sDrive18i 领先型,14.64万,,2015年,7.4万公里,2014款,2.0T
日产 奇骏 2014款 2.5L CVT豪华版 4WD,13.47万,,2015年,5.1万公里,2014款,2.5L
别克 英朗 2019款 18T 自动互联精英型 国V,7.08万,,2019年,2.5万公里,2019款,1.3T
奥迪A4L 2018款 30周年年型 40 TFSI 进取型,22.50万,,2018年,2.2万公里,2018款,2.0T
本田 雅阁 2015款 2.0L LX 舒适版,13.00万,19.52万,2015年,5.2万公里,2015款,2.0L
雪佛兰 科鲁兹 2016款 1.5L 自动豪华版,5.50万,14.97万,2016年,12.9万公里,2016款,1.5L
现代 悦纳RV 2017款 1.4L 自动炫酷版GLS 国V,6.00万,9.64万,2017年,3.8万公里,2017款,1.4L
马自达 昂克赛拉 2017款 两厢 1.5L 自动豪华型 国V,9.98万,15.19万,2017年,1.6万公里,2017款,1.5L
奥迪A6L 2018款 30周年年型 35 TFSI 时尚型,27.00万,,2018年,5.1万公里,2018款,2.0T
大众 高尔夫 2017款 1.6L 自动舒适百万辆纪念版,9.03万,,2017年,2.3万公里,2017款,1.6L
丰田 凯美瑞 2015款 2.0G 领先版,11.82万,,2015年,8.9万公里,2015款,2.0L
日产 骐达 2016款 1.6L CVT酷动版,7.00万,12.36万,2016年,7.0万公里,2016款,1.6L
福特 福克斯 2017款 三厢 1.6L 自动风尚型智行版,6.30万,15.07万,2017年,3.5万公里,2017款,1.6L
大众 途昂 2017款 380TSI 四驱豪华版,27.00万,40.04万,2018年,3.3万公里,2017款,2.0T
奥迪Q5 2016款 40 TFSI 舒适型,25.00万,51.99万,2016年,5.6万公里,2016款,2.0T
奔驰GLA级 2016款 GLA 200 时尚型,18.68万,31.46万,2017年,2.7万公里,2016款,1.6T
传祺GS8 2017款 320T 两驱豪华智联版（七座）,11.56万,,2017年,3.3万公里,2017款,2.0T
标致3008 2015款 1.6THP 自动至尚版,7.27万,,2016年,9.1万公里,2015款,1.6T
江铃 驭胜S330 2016款 1.5L GTDi 自动两驱尊贵版,5.53万,,2016年,4.0万公里,2016款,1.5T
马自达CX-5 2017款 2.0L 自动两驱智享型 国V,14.25万,,2017年,2.7万公里,2017款,2.0L
Jeep 指南者 2017款 200T 自动家享版,10.66万,,2018年,3.0万公里,2017款,1.4T
雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,6.53万,,2015年,9.8万公里,2014款,2.0L
大众 速腾 2014款 1.4TSI 自动豪华型,7.16万,,2013年,8.1万公里,2014款,1.4T
日产 轩逸 2016款 1.6XV CVT智享版,8.00万,15.17万,2016年,8.7万公里,2016款,1.6L
大众 朗行 2017款 1.6L 自动舒适版,7.50万,15.19万,2017年,5.0万公里,2017款,1.6L
三菱 欧蓝德 2018款 2.0L 两驱荣耀版 5座,12.67万,,2018年,4.4万公里,2018款,2.0L
东风风度 风度MX6 2016款 2.0L CVT两驱卓越版,7.01万,,2017年,9.1万公里,2016款,2.0L
斯柯达 昕动 2019款 1.5L 自动舒适版,7.80万,10.84万,2019年,1.5万公里,2019款,1.5L
现代ix25 2015款 1.6L 自动两驱智能型GLS,8.50万,15.50万,2017年,5.6万公里,2015款,1.6L
宝沃汽车 宝沃BX7 2018款 28T 两驱舒适型 5座 国V,9.81万,,2018年,4.1万公里,2018款,2.0T
宝马5系 2017款 525Li 领先型,29.10万,,2017年,4.5万公里,2017款,2.0T
福特 锐界 2015款 2.0T GTDi 四驱豪锐型,16.84万,,2016年,6.7万公里,2015款,2.0T
大众 速腾 2015款 230TSI 自动舒适型,8.96万,,2016年,5.5万公里,2015款,1.4T
大众 朗逸 2013款 改款经典 1.6L 手动舒适版,5.88万,13.67万,2016年,6.9万公里,2013款,1.6L
宝马5系 2017款 525Li 领先型,29.00万,50.65万,2016年,9.1万公里,2017款,2.0T
大众 高尔夫 2018款 230TSI 自动舒适型,9.50万,16.81万,2018年,2.5万公里,2018款,1.4T
别克 昂科拉 2020款 20T CVT精英型,10.80万,15.84万,2020年,400公里,2020款,1.3T
现代 领动 2016款 1.6L 自动智炫·精英型,8.30万,13.00万,2018年,2.7万公里,2016款,1.6L
雪佛兰 迈锐宝XL 2017款 1.5T 自动锐驰版,10.05万,,2017年,3.4万公里,2017款,1.5T
丰田 卡罗拉 2014款 1.6L CVT GL-i真皮版,8.52万,,2016年,3.0万公里,2014款,1.6L
现代 名图 2017款 1.8L 自动智能型GLS 国V,9.42万,,2017年,1.8万公里,2017款,1.8L
本田 锋范 2017款 1.5L CVT精英版,6.81万,,2018年,2.4万公里,2017款,1.5L
大众 途观L 2018款 330TSI 自动两驱豪华版,16.80万,,2018年,5.9万公里,2018款,2.0T
日产 轩逸 2018款 经典 1.6XE+ CVT领先版,7.30万,12.24万,2018年,3.9万公里,2018款,1.6L
大众 途观 2015款 1.8TSI 自动两驱风尚版,10.56万,22.99万,2015年,7.9万公里,2015款,1.8T
宝马X1 2012款 sDrive18i 豪华型,9.80万,34.63万,2012年,10.5万公里,2012款,2.0L
起亚K4 2014款 1.8L 自动GLS,7.88万,16.15万,2015年,4.1万公里,2014款,1.8L
大众 高尔夫 2012款 1.6 自动舒适型,6.50万,14.42万,2014年,6.8万公里,2012款,1.6L
日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.68万,21.36万,2016年,5.6万公里,2014款,2.0L
别克 凯越 2011款 1.6LE-AT,2.80万,12.80万,2012年,11.3万公里,2011款,1.6L
